YEAR,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
2019,60004,1060,1210,1410,1790,2140
2019,60005,970,1100,1280,1630,1950
2019,60006,890,1020,1180,1500,1800
2019,60007,950,1090,1260,1600,1920
2019,60008,1060,1210,1400,1780,2130
2019,60009,890,1020,1180,1500,1800
2019,60010,1370,1570,1820,2320,2770
2019,60011,940,1080,1250,1590,1900
2019,60015,1370,1570,1820,2320,2770
2019,60016,1000,1140,1320,1680,2010
2019,60017,890,1020,1180,1500,1800
2019,60018,810,920,1070,1360,1630
2019,60022,1080,1260,1450,1850,2210
2019,60025,1050,1200,1390,1770,2110
2019,60026,1280,1460,1700,2160,2590
2019,60029,890,1020,1180,1500,1800
2019,60043,990,1140,1330,1690,1990
2019,60053,1370,1560,1810,2300,2750
2019,60056,960,1090,1270,1620,1930
2019,60062,1340,1520,1770,2250,2690
2019,60065,890,1020,1180,1500,1800
2019,60067,1050,1200,1390,1770,2110
2019,60068,1030,1180,1370,1740,2080
2019,60070,860,980,1140,1450,1730
2019,60074,980,1120,1300,1650,1980
2019,60076,1060,1210,1400,1780,2130
2019,60077,1000,1140,1320,1680,2010
2019,60078,890,1020,1180,1500,1800
2019,60089,1210,1380,1600,2040,2430
2019,60090,1000,1140,1320,1680,2010
2019,60091,1370,1570,1820,2320,2770
2019,60093,1370,1570,1820,2320,2770
2019,60103,1170,1340,1550,1970,2360
2019,60104,910,1040,1210,1540,1840
2019,60107,1340,1530,1780,2260,2710
2019,60120,910,1040,1210,1540,1840
2019,60126,1230,1400,1630,2070,2480
2019,60130,850,970,1130,1440,1720
2019,60131,740,840,980,1250,1490
2019,60133,1020,1160,1350,1720,2050
2019,60141,890,1020,1180,1500,1800
2019,60153,820,930,1080,1370,1640
2019,60154,1170,1340,1550,1970,2360
2019,60155,780,900,1040,1320,1580
2019,60159,890,1020,1180,1500,1800
2019,60160,800,910,1060,1350,1610
2019,60161,890,1020,1180,1500,1800
2019,60162,850,970,1130,1440,1720
2019,60163,880,1010,1170,1490,1780
2019,60164,730,840,970,1230,1480
2019,60165,900,1030,1190,1510,1810
2019,60168,890,1020,1180,1500,1800
2019,60169,970,1110,1290,1640,1960
2019,60171,780,900,1040,1320,1580
2019,60172,1060,1210,1410,1790,2140
2019,60173,1250,1430,1660,2110,2530
2019,60176,780,890,1030,1310,1570
2019,60192,1370,1570,1820,2320,2770
2019,60193,1150,1320,1530,1950,2330
2019,60194,1210,1380,1600,2040,2430
2019,60195,1030,1180,1370,1740,2080
2019,60201,1270,1450,1680,2140,2560
2019,60202,1110,1270,1470,1870,2240
2019,60203,1330,1520,1760,2240,2680
2019,60204,890,1020,1180,1500,1800
2019,60301,1370,1570,1820,2320,2770
2019,60302,1220,1390,1610,2050,2450
2019,60303,890,1020,1180,1500,1800
2019,60304,980,1120,1300,1650,1980
2019,60305,1100,1260,1460,1860,2220
2019,60402,860,980,1140,1450,1730
2019,60406,730,840,970,1230,1480
2019,60409,880,1000,1160,1480,1760
2019,60411,790,900,1050,1340,1600
2019,60412,890,1020,1180,1500,1800
2019,60415,820,930,1080,1370,1640
2019,60419,1000,1150,1330,1690,2020
2019,60422,1370,1570,1820,2320,2770
2019,60423,1140,1300,1510,1920,2300
2019,60425,860,980,1140,1450,1730
2019,60426,700,800,930,1180,1410
2019,60428,1060,1210,1400,1780,2130
2019,60429,1120,1270,1480,1880,2250
2019,60430,1010,1150,1340,1710,2040
2019,60438,850,970,1130,1440,1720
2019,60439,970,1100,1280,1630,1950
2019,60443,1010,1150,1340,1710,2040
2019,60445,810,920,1070,1360,1630
2019,60452,820,940,1090,1390,1660
2019,60453,940,1080,1250,1590,1900
2019,60454,890,1020,1180,1500,1800
2019,60455,780,900,1040,1320,1580
2019,60456,890,1020,1180,1500,1800
2019,60457,790,900,1050,1340,1600
2019,60458,820,940,1090,1390,1660
2019,60459,920,1050,1220,1550,1860
2019,60461,1370,1570,1820,2320,2770
2019,60462,950,1090,1260,1600,1920
2019,60463,1370,1570,1820,2320,2770
2019,60464,990,1140,1330,1690,1990
2019,60465,900,1030,1190,1510,1810
2019,60466,940,1070,1240,1580,1890
2019,60467,1370,1570,1820,2320,2770
2019,60469,930,1060,1230,1570,1870
2019,60471,910,1040,1210,1540,1840
2019,60472,770,880,1020,1300,1550
2019,60473,1270,1450,1680,2140,2560
2019,60475,750,860,1000,1270,1520
2019,60476,680,780,900,1150,1370
2019,60477,940,1070,1240,1580,1890
2019,60478,1210,1380,1600,2040,2430
2019,60480,880,1010,1170,1490,1780
2019,60482,780,890,1030,1310,1570
2019,60487,910,1040,1210,1540,1840
2019,60499,890,1020,1180,1500,1800
2019,60501,740,840,980,1250,1490
2019,60513,870,990,1150,1460,1750
